Date,Link,Message
2023-12-23 23:54:13,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7144361212300902400,"Sempre bom buscar o código mais performático para o problema que você está enfrentando, nem sempre a primeira solução é a melhor naquele determinado contexto."
2023-12-22 00:35:38,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816,"sim, já aumentou mais de 10 pontos desde o post."
2023-12-21 23:54:16,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7143694265930465280,"eu também prefiro carrossel kk, ainda bem que os outros concordam comigo."
2023-12-21 21:18:57,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7143268841811349506,valeu
2023-12-21 21:18:45,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7143268841811349506,obrigado André.
2023-12-21 16:39:36,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7143570837672030208,"O diagrama de Venn é excelente no começo dos estudos de Joins já que só com o código em si é difícil você criar uma imagem mental do que está acontecendo, outra dica é imaginar que você está fazendo algo similar ao PROCV."
2023-12-21 03:34:44,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816,"Verdade, muito sucesso pra você também!"
2023-12-21 03:30:38,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816,"Valeu amigo, estamos juntos nessa, sucesso!"
2023-12-21 03:27:22,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816,"Boa, vou testar essa estratégia. "
2023-12-21 03:21:59,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816,"Obrigado pela dica, irei testar essa estratégia. "
2023-12-21 03:20:22,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816,Obrigado!
2023-12-21 03:18:58,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816,"Estamos juntos nessa, sucesso!"
2023-12-21 03:11:10,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816,Muito obrigado! 
2023-12-21 03:10:27,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816,"Show de bola, esse é o caminho!"
2023-12-21 03:09:07,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816,"Boa, estamos juntos nessa! "
2023-12-21 03:07:45,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816,"Obrigado, e estamos juntos nessa rumo ao sucesso 🚀"
2023-12-19 22:42:31,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142906429014790144,"acredito que já tem, neste já tem alguma coisa de python e deve ter em um separado."
2023-12-19 17:48:30,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142906429014790144,Link: 
https://learning.edx.org/course/course-v1:HarvardX+CS50+X/home
2023-12-19 17:47:54,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142906429014790144,Link do curso:
https://learning.edx.org/course/course-v1:HarvardX+CS50+X/home
2023-12-18 16:29:12,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816,vou dar uma olhada 
2023-12-18 16:28:24,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7142544051613986816,"kkk, só os raízes começam a contar do 0."
2023-10-11 17:31:08,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7117923249547558912, Repositório: https://github.com/GabrielRomaoG/linear_regression_demonstration
2023-08-30 12:09:29,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7102591691785744384,"Por isso sempre busco praticar o máximo possível, ótimo post."
2023-08-18 23:45:10,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7098410490585870336,Boa Jorge!
2023-08-01 15:16:06,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7092160697937084416,link do repositório:
https://github.com/GabrielRomaoG/PBI_ClientPortfolio
